term_id,trigger_terms,preferred_term,note
1,sweater,jumper,Everyday AU clothing term
2,cilantro,coriander,Everyday AU grocery term
3,to go|takeout,takeaway,Everyday AU food-service term
4,comforter|duvet cover,doona cover,Everyday AU homewares term
5,trash can|garbage can,bin,Everyday AU household term
6,purse,handbag,Everyday AU term for a small bag
7,vacation,holiday,Everyday AU term for leisure travel
8,movie theater,cinema,Everyday AU term
9,coffee to go,takeaway coffee,Everyday AU cafe term
10,line (queue),queue,Everyday AU term for waiting in line
11,drug store,chemist,Everyday AU term for a pharmacy retailer
12,parking lot,car park,Everyday AU term
13,vendors,stallholders,Everyday AU market term
14,cart|shopping cart,trolley,Everyday AU term for a shopping cart
